V               set_picnum
P               toggle_parallax
SHIFT+RIGHT     pan_x+
SHIFT+LEFT      pan_x-
SHIFT+UP        pan_y+
SHIFT+DOWN      pan_y-
RIGHT           pan_x_scaled+
LEFT            pan_x_scaled-
UP              pan_y_scaled+
DOWN            pan_y_scaled-
CTRL+RIGHT      repeat_x+
CTRL+LEFT       repeat_x-
CTRL+UP         repeat_y+
CTRL+DOWN       repeat_y-
CTRL+SHIFT+RIGHT repeat_x_scaled+
CTRL+SHIFT+LEFT repeat_x_scaled-
CTRL+SHIFT+UP   repeat_y_scaled+
CTRL+SHIFT+DOWN repeat_y_scaled-
O               cycle_pal
F               flip
I               insert_sprite
K               msg wallcstat swapBottoms true true
M               msg wallcstat alignBottom true true
R               sprite_mode
1               copy
2               paste_shade
3               paste_picnum
wheelUp         shade+
wheelDown       shade-
SHIFT+wheelUp   shade_scaled+
SHIFT+wheelDown shade_scaled-
ENTER           view_mode
mouse0          print_selected
CTRL+mouse0     split_wall
SPACE           draw_wall
SHIFT+SPACE     draw_rect_wall
BACKSPACE       undo_draw_wall
[               grid+
]               grid-
J               join_sectors
\               msg panrepeat 0 0 8 8 true

+mouse0         move
+W              forward
+S              backward
+A              strafe_left
+D              strafe_right
+mouse2         lookaim
+W              zoom+
+S              zoom-
+TAB            select_loop_mod
+SHIFT          mod1
+ALT            mod2
+CTRL           mod3
